Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Topological domain	Subcellular location [CC]	yourlist:M201905316746803381A1F0E0DB47453E0216320D1CCA86Y
Q16719	KYNU_HUMAN	reviewed	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	KYNU	Homo sapiens (Human)	465				SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000255|HAMAP-Rule:MF_03017, ECO:0000269|PubMed:8706755}.	Q16719
P00749	UROK_HUMAN	reviewed	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	PLAU	Homo sapiens (Human)	431		SIGNAL 1 20 {ECO:0000269|PubMed:2023947, ECO:0000269|PubMed:6754569}.		SUBCELLULAR LOCATION: Secreted.	P00749-2
P03956	MMP1_HUMAN	reviewed	Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase]	MMP1 CLG	Homo sapiens (Human)	469		SIGNAL 1 19		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:2167156}.	P03956
O60488	ACSL4_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4 ACS4 FACL4 LACS4	Homo sapiens (Human)	711	TRANSMEM 8 28 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}.		TOPO_DOM 29 711 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.	O60488-2
P15121	ALDR_HUMAN	reviewed	Aldo-keto reductase family 1 member B1 (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR) (EC 1.1.1.21)	AKR1B1 ALDR1 ALR2	Homo sapiens (Human)	316				SUBCELLULAR LOCATION: Cytoplasm.	P15121
P48681	NEST_HUMAN	reviewed	Nestin	NES Nbla00170	Homo sapiens (Human)	1621					P48681
Q92539	LPIN2_HUMAN	reviewed	Phosphatidate phosphatase LPIN2 (EC 3.1.3.4) (Lipin-2)	LPIN2 KIAA0249	Homo sapiens (Human)	896				SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}. Note=Translocates to endoplasmic reticulum membrane with increasing levels of oleate. {ECO:0000250}.	Q92539
P08572	CO4A2_HUMAN	reviewed	Collagen alpha-2(IV) chain [Cleaved into: Canstatin]	COL4A2	Homo sapiens (Human)	1712		SIGNAL 1 25		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	P08572
Q96B97	SH3K1_HUMAN	reviewed	SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)	SH3KBP1 CIN85	Homo sapiens (Human)	665				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20221403}. Cytoplasm, cytoskeleton. Cytoplasmic vesicle membrane; Peripheral membrane protein. Cell junction, synapse, synaptosome. Cell junction, focal adhesion {ECO:0000250}. Note=Localized in endocytic vesicles containing clustered receptors. Colocalizes with ASAP1 in vesicular structures. Colocalized with actin microfilaments and focal adhesions (By similarity). Colocalized with MAGI2 in synaptosomes. Translocation to EGFR containing vesicles upon EGF stimulation is inhibited in the presence of SH3KBP1 (By similarity). Colocalizes with ZFP36 in the cytoplasm (PubMed:20221403). {ECO:0000250|UniProtKB:Q8R550, ECO:0000269|PubMed:20221403}.	Q96B97
O95757	HS74L_HUMAN	reviewed	Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94)	HSPA4L APG1 OSP94	Homo sapiens (Human)	839				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=May translocate to the nucleus after heat shock. {ECO:0000250}.	O95757
P01033	TIMP1_HUMAN	reviewed	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	TIMP1 CLGI TIMP	Homo sapiens (Human)	207		SIGNAL 1 23 {ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1653055, ECO:0000269|PubMed:1730286, ECO:0000269|PubMed:3010309, ECO:0000269|PubMed:3839290, ECO:0000269|PubMed:3903517}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1730286, ECO:0000269|PubMed:24635319, ECO:0000269|PubMed:3010309, ECO:0000269|PubMed:3839290, ECO:0000269|PubMed:3903517, ECO:0000269|PubMed:8541540}.	P01033
Q9H2J7	S6A15_HUMAN	reviewed	Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Sodium-coupled branched-chain amino-acid transporter 1) (Solute carrier family 6 member 15) (Transporter v7-3)	SLC6A15 B0AT2 NTT73 SBAT1	Homo sapiens (Human)	730	TRANSMEM 70 90 Helical; Name=1. {ECO:0000255}.; TRANSMEM 98 117 Helical; Name=2. {ECO:0000255}.; TRANSMEM 142 162 Helical; Name=3. {ECO:0000255}.; TRANSMEM 226 244 Helical; Name=4. {ECO:0000255}.; TRANSMEM 253 270 Helical; Name=5. {ECO:0000255}.; TRANSMEM 306 323 Helical; Name=6. {ECO:0000255}.; TRANSMEM 335 356 Helical; Name=7. {ECO:0000255}.; TRANSMEM 453 472 Helical; Name=8. {ECO:0000255}.; TRANSMEM 496 514 Helical; Name=9. {ECO:0000255}.; TRANSMEM 530 550 Helical; Name=10. {ECO:0000255}.; TRANSMEM 571 592 Helical; Name=11. {ECO:0000255}.; TRANSMEM 620 642 Helical; Name=12. {ECO:0000255}.		TOPO_DOM 1 69 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 163 225 Extracellular. {ECO:0000255}.; TOPO_DOM 357 452 Extracellular. {ECO:0000255}.; TOPO_DOM 643 730 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Q9H2J7
Q9UI15	TAGL3_HUMAN	reviewed	Transgelin-3 (Neuronal protein 22) (NP22) (Neuronal protein NP25)	TAGLN3 NP25	Homo sapiens (Human)	199					Q9UI15
Q01432	AMPD3_HUMAN	reviewed	AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase)	AMPD3	Homo sapiens (Human)	767					Q01432
P05362	ICAM1_HUMAN	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	Homo sapiens (Human)	532	TRANSMEM 481 503 Helical. {ECO:0000255}.	SIGNAL 1 27	TOPO_DOM 28 480 Extracellular. {ECO:0000255}.; TOPO_DOM 504 532 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	P05362
P08476	INHBA_HUMAN	reviewed	Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF)	INHBA	Homo sapiens (Human)	426		SIGNAL 1 20 {ECO:0000250}.		SUBCELLULAR LOCATION: Secreted.	P08476
Q8TCU6	PREX1_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)	PREX1 KIAA1415	Homo sapiens (Human)	1659				SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cell membrane. Note=Mainly cytosolic. Some amount is apparently associated to the plasma membrane.	Q8TCU6-3
Q7Z7L8	CK096_HUMAN	reviewed	Uncharacterized protein C11orf96 (Protein Ag2 homolog)	C11orf96 AG2	Homo sapiens (Human)	435					Q7Z7L8
P09341	GROA_HUMAN	reviewed	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]	CXCL1 GRO GRO1 GROA MGSA SCYB1	Homo sapiens (Human)	107		SIGNAL 1 34 {ECO:0000269|PubMed:10095777, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1755384, ECO:0000269|PubMed:2182761, ECO:0000269|PubMed:2655583}.		SUBCELLULAR LOCATION: Secreted.	P09341
Q5VUJ6	LRCH2_HUMAN	reviewed	Leucine-rich repeat and calponin homology domain-containing protein 2	LRCH2 KIAA1495	Homo sapiens (Human)	765					Q5VUJ6-2
P41221	WNT5A_HUMAN	reviewed	Protein Wnt-5a	WNT5A	Homo sapiens (Human)	380		SIGNAL 1 35 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}.	P41221-2
Q9UQ03	COR2B_HUMAN	reviewed	Coronin-2B (Coronin-like protein C) (Clipin-C) (Protein FC96)	CORO2B KIAA0925	Homo sapiens (Human)	480				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}.	Q9UQ03-2
P17676	CEBPB_HUMAN	reviewed	CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5)	CEBPB TCF5 PP9092	Homo sapiens (Human)	345				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20829347}. Cytoplasm {ECO:0000269|PubMed:9374525}. Note=Translocates to the nucleus when phosphorylated at Ser-288. In T-cells when sumoylated drawn to pericentric heterochromatin thereby allowing proliferation (By similarity). {ECO:0000250|UniProtKB:P28033, ECO:0000269|PubMed:9374525}.	P17676
P13726	TF_HUMAN	reviewed	Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142)	F3	Homo sapiens (Human)	295	TRANSMEM 252 274 Helical. {ECO:0000255}.	SIGNAL 1 32	TOPO_DOM 33 251 Extracellular. {ECO:0000255}.; TOPO_DOM 275 295 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Isoform 1: Membrane {ECO:0000269|PubMed:12652293}; Single-pass type I membrane protein {ECO:0000269|PubMed:12652293}.; SUBCELLULAR LOCATION: Isoform 2: Secreted {ECO:0000269|PubMed:12652293}.	P13726
Q24JP5	T132A_HUMAN	reviewed	Transmembrane protein 132A (HSPA5-binding protein 1)	TMEM132A HSPA5BP1 KIAA1583	Homo sapiens (Human)	1023	TRANSMEM 853 873 Helical. {ECO:0000255}.	SIGNAL 1 35 {ECO:0000255}.	TOPO_DOM 36 852 Extracellular. {ECO:0000255}.; TOPO_DOM 874 1023 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	Q24JP5
O00469	PLOD2_HUMAN	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	PLOD2	Homo sapiens (Human)	737		SIGNAL 1 25 {ECO:0000255}.		SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane; Peripheral membrane protein; Lumenal side.	O00469
Q13393	PLD1_HUMAN	reviewed	Phospholipase D1 (PLD 1) (hPLD1) (EC 3.1.4.4) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1)	PLD1	Homo sapiens (Human)	1074				SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Late endosome membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}; Cytoplasmic side {ECO:0000250}.	Q13393-2
O95150	TNF15_HUMAN	reviewed	Tumor necrosis factor ligand superfamily member 15 (TNF ligand-related molecule 1) (Vascular endothelial cell growth inhibitor) [Cleaved into: Tumor necrosis factor ligand superfamily member 15, membrane form; Tumor necrosis factor ligand superfamily member 15, secreted form]	TNFSF15 TL1 VEGI	Homo sapiens (Human)	251	TRANSMEM 36 56 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.		TOPO_DOM 1 35 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 57 251 Extracellular. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305|PubMed:11911831, ECO:0000305|PubMed:11923219}; Single-pass type II membrane protein {ECO:0000305|PubMed:11911831, ECO:0000305|PubMed:11923219}.; SUBCELLULAR LOCATION: Tumor necrosis factor ligand superfamily member 15, secreted form: Secreted.	O95150
Q13126	MTAP_HUMAN	reviewed	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	MTAP MSAP	Homo sapiens (Human)	283				SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000255|HAMAP-Rule:MF_03155}.	Q13126
P01112	RASH_HUMAN	reviewed	GTPase HRas (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	HRAS HRAS1	Homo sapiens (Human)	189				SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor; Cytoplasmic side. Golgi apparatus. Golgi apparatus membrane; Lipid-anchor. Note=The active GTP-bound form is localized most strongly to membranes than the inactive GDP-bound form (By similarity). Shuttles between the plasma membrane and the Golgi apparatus. {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform 2: Nucleus. Cytoplasm. Cytoplasm, perinuclear region. Note=Colocalizes with RACK1 to the perinuclear region.	P01112
P26022	PTX3_HUMAN	reviewed	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	PTX3 TNFAIP5 TSG14	Homo sapiens (Human)	381		SIGNAL 1 17 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted.	P26022
Q8NEZ5	FBX22_HUMAN	reviewed	F-box only protein 22 (F-box protein FBX22p44)	FBXO22 FBX22	Homo sapiens (Human)	403				SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250}.	Q8NEZ5
O60711	LPXN_HUMAN	reviewed	Leupaxin	LPXN LDLP	Homo sapiens (Human)	386				SUBCELLULAR LOCATION: Cytoplasm. Cell junction, focal adhesion. Nucleus. Cytoplasm, perinuclear region {ECO:0000250}. Cell projection, podosome. Cell membrane. Note=Shuttles between the cytoplasm and nucleus. Recruited to the cell membrane following B-cell antigen receptor (BCR) cross-linking in B-cells. Enhanced focal adhesion kinase activity (PTK2/FAK) attenuates its nuclear accumulation and limits its ability to enhance serum response factor (SRF)-dependent gene transcription. Targeting to focal adhesions is essential for its tyrosine phosphorylation in response to bombesin.	O60711
Q8NEY1	NAV1_HUMAN	reviewed	Neuron navigator 1 (Pore membrane and/or filament-interacting-like protein 3) (Steerin-1) (Unc-53 homolog 1) (unc53H1)	NAV1 KIAA1151 KIAA1213 POMFIL3 STEERIN1	Homo sapiens (Human)	1877				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Note=Associates with a subset of microtubule plus ends. Enriched in neuronal growth cones (By similarity). {ECO:0000250}.	Q8NEY1-7
Q13219	PAPP1_HUMAN	reviewed	Pappalysin-1 (EC 3.4.24.79) (Insulin-like growth factor-dependent IGF-binding protein 4 protease) (IGF-dependent IGFBP-4 protease) (IGFBP-4ase) (Pregnancy-associated plasma protein A) (PAPP-A)	PAPPA	Homo sapiens (Human)	1627		SIGNAL 1 22 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10077652}.	Q13219
A0A0U1RQK7	A0A0U1RQK7_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 3	EIF4G3	Homo sapiens (Human)	1774					A0A0U1RQK7
P23677	IP3KA_HUMAN	reviewed	Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase A) (IP3 3-kinase A) (IP3K A) (InsP 3-kinase A)	ITPKA	Homo sapiens (Human)	461					P23677
O15403	MOT7_HUMAN	reviewed	Monocarboxylate transporter 7 (MCT 7) (Monocarboxylate transporter 6) (MCT 6) (Solute carrier family 16 member 6)	SLC16A6 MCT6 MCT7	Homo sapiens (Human)	523	TRANSMEM 22 42 Helical. {ECO:0000255}.; TRANSMEM 63 83 Helical. {ECO:0000255}.; TRANSMEM 92 112 Helical. {ECO:0000255}.; TRANSMEM 119 139 Helical. {ECO:0000255}.; TRANSMEM 150 170 Helical. {ECO:0000255}.; TRANSMEM 185 205 Helical. {ECO:0000255}.; TRANSMEM 300 320 Helical. {ECO:0000255}.; TRANSMEM 331 351 Helical. {ECO:0000255}.; TRANSMEM 359 379 Helical. {ECO:0000255}.; TRANSMEM 382 402 Helical. {ECO:0000255}.; TRANSMEM 424 444 Helical. {ECO:0000255}.; TRANSMEM 453 473 Helical. {ECO:0000255}.		TOPO_DOM 1 21 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 43 62 Extracellular. {ECO:0000255}.; TOPO_DOM 84 91 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 113 118 Extracellular. {ECO:0000255}.; TOPO_DOM 140 149 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 171 184 Extracellular. {ECO:0000255}.; TOPO_DOM 206 299 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 321 330 Extracellular. {ECO:0000255}.; TOPO_DOM 352 358 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 380 381 Extracellular. {ECO:0000255}.; TOPO_DOM 403 423 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 445 452 Extracellular. {ECO:0000255}.; TOPO_DOM 474 523 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	O15403
P37840	SYUA_HUMAN	reviewed	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	Homo sapiens (Human)	140				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19762560, ECO:0000269|PubMed:24936070, ECO:0000269|PubMed:25561023, ECO:0000269|PubMed:26442590}. Membrane {ECO:0000269|PubMed:24936070}. Nucleus {ECO:0000269|PubMed:12859192, ECO:0000269|PubMed:24936070}. Cell junction, synapse {ECO:0000269|PubMed:15282274}. Secreted {ECO:0000269|PubMed:24936070}. Note=Membrane-bound in dopaminergic neurons. {ECO:0000269|PubMed:15282274}.	P37840-2
