,S1,S2,S3,C1,C2,C3,genes,ave_S,ave_C,logFC,FC,Acc,PValue,FDR,candidate,log10p,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names_x,Gene names_x,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides PS-TMT,Razor + unique peptides PS-TMT,Unique peptides PS-TMT,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,david_input,yourlist,Entry,Entry name,Protein names_y,Gene names_y,Organism,Length,Transmembrane,Transit peptide,Signal peptide
10,80144.01766152859,99682.38135373915,103189.40693821388,30443.451798199134,37373.847727255896,34920.18714060562,409_TBXAS1,94338.6019844939,34245.8288886869,-1.46191994173967,-2.75474722165825,409_TBXAS1,1.4316500135644899e-06,2.1599591049571398e-05,high,5.8441631382817,Q53F23;A0A0C4DH47;P24557;A0A0A0MSK3;C9JS68;B7Z6W1;F8WD37;F8WC80,Q53F23;A0A0C4DH47;P24557;A0A0A0MSK3;C9JS68,8;8;8;6;4;3;1;1,8;8;8;6;4;3;1;1,8;8;8;6;4;3;1;1,Thromboxane-A synthase,TBXAS1,"tr|Q53F23|Q53F23_HUMAN HCG14925, isoform CRA_a (Fragment) OS=Homo sapiens OX=9606 GN=TBXAS1 PE=1 SV=1;tr|A0A0C4DH47|A0A0C4DH47_HUMAN Thromboxane-A synthase OS=Homo sapiens OX=9606 GN=TBXAS1 PE=1 SV=1;sp|P24557|THAS_HUMAN Thromboxane-A synthase OS=Homo sapi",8,8,8,8,8,8,8,15.9,15.9,15.9,60.648999999999994,534,534;580;533;460;151;152;80;81,0.0,22.596999999999998,THAS_HUMAN,THAS_HUMAN,P24557,THAS_HUMAN,Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1),TBXAS1 CYP5 CYP5A1,Homo sapiens (Human),533,TRANSMEM 11 31 Helical. {ECO:0000255}.; TRANSMEM 76 96 Helical. {ECO:0000255}.; TRANSMEM 224 244 Helical. {ECO:0000255}.; TRANSMEM 336 356 Helical. {ECO:0000255}.,,
11,1229.9711751857428,1858.546267672365,1205.1608713105861,662.088762224855,449.4566772816925,592.6704033504503,454_BTG3,1431.2261047229001,568.071947618999,-1.3331060395916101,-2.51944513493704,454_BTG3,0.000841426794264664,0.00293596151490314,high,3.0749836624925293,C9JLA2;A0A0G2JRT0;A0A0G2JRS5;Q14201,C9JLA2;A0A0G2JRT0;A0A0G2JRS5;Q14201,1;1;1;1,1;1;1;1,1;1;1;1,Protein BTG3,BTG3,tr|C9JLA2|C9JLA2_HUMAN Protein BTG3 (Fragment) OS=Homo sapiens OX=9606 GN=BTG3 PE=4 SV=1;tr|A0A0G2JRT0|A0A0G2JRT0_HUMAN Protein BTG3 (Fragment) OS=Homo sapiens OX=9606 GN=BTG3 PE=1 SV=4;tr|A0A0G2JRS5|A0A0G2JRS5_HUMAN Protein BTG3 (Fragment) OS=Homo sapiens,4,1,1,1,1,1,1,17.4,17.4,17.4,5.6476,46,46;103;147;252,0.0063223,1.8412,C9JLA2_HUMAN,C9JLA2_HUMAN,C9JLA2,C9JLA2_HUMAN,Protein BTG3 (Fragment),BTG3,Homo sapiens (Human),46,,,
12,30846.28323189788,32935.46923378499,35978.87312131428,14654.37161795617,14101.525402397876,15842.385220338654,529_AHR,33253.5418623324,14866.094080230901,-1.16148236817511,-2.23687147968163,529_AHR,6.05700006728242e-07,1.17635322061435e-05,high,6.217742421512464,A0A1B0GVI7;P35869;A0A2R8Y7G1,A0A1B0GVI7;P35869;A0A2R8Y7G1,2;2;1,2;2;1,2;2;1,Aryl hydrocarbon receptor,AHR,tr|A0A1B0GVI7|A0A1B0GVI7_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;sp|P35869|AHR_HUMAN Aryl hydrocarbon receptor OS=Homo sapiens OX=9606 GN=AHR PE=1 SV=2;tr|A0A2R8Y7G1|A0A2R8Y7G1_HUMAN Aryl hydrocarbon receptor OS=Homo sapi,3,2,2,2,2,2,2,2.4,2.4,2.4,90.58,797,797;848;833,0.00018218,3.6476,AHR_HUMAN,AHR_HUMAN,P35869,AHR_HUMAN,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),AHR BHLHE76,Homo sapiens (Human),848,,,
13,3761.2066480392805,6568.757305009694,6508.971343989984,2312.2581621293143,2667.568392805601,1735.04847770808,549_FLT1,5612.978432346321,2238.29167754767,-1.3263684659426203,-2.5077064301539402,549_FLT1,0.0009700742453047301,0.0032918563401109994,high,3.013195025432519,A0A1W2PNW4;P17948,A0A1W2PNW4;P17948,3;3,3;3,3;3,Vascular endothelial growth factor receptor 1,FLT1,tr|A0A1W2PNW4|A0A1W2PNW4_HUMAN Vascular endothelial growth factor receptor 1 OS=Homo sapiens OX=9606 GN=FLT1 PE=1 SV=1;sp|P17948|VGFR1_HUMAN Vascular endothelial growth factor receptor 1 OS=Homo sapiens OX=9606 GN=FLT1 PE=1 SV=2,2,3,3,3,3,3,3,4.5,4.5,4.5,74.925,665,665;1338,0.0,5.7656,VGFR1_HUMAN,VGFR1_HUMAN,P17948,VGFR1_HUMAN,Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor),FLT1 FLT FRT VEGFR1,Homo sapiens (Human),1338,TRANSMEM 759 780 Helical. {ECO:0000255}.,,SIGNAL 1 26 {ECO:0000269|PubMed:8248162}.
14,37670.45714874006,38507.68774922228,37079.1659938949,18711.112618933264,17095.013722818698,18258.67192092033,743_GLA,37752.4369639524,18021.5994208908,-1.0668427187615,-2.09484386386868,743_GLA,1.1901076733535199e-07,3.9096303141655995e-06,high,6.924413744634481,A0A3B3IUC4;P06280;A0A3B3IRU3;V9GYN5,A0A3B3IUC4;P06280,6;6;1;1,6;6;1;1,6;6;1;1,Alpha-galactosidase A,GLA,tr|A0A3B3IUC4|A0A3B3IUC4_HUMAN Alpha-galactosidase OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1;sp|P06280|AGAL_HUMAN Alpha-galactosidase A OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1,4,6,6,6,6,6,6,14.0,14.0,14.0,53.283,470,470;429;199;222,0.0,20.814,AGAL_HUMAN,AGAL_HUMAN,P06280,AGAL_HUMAN,Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase) (Agalsidase),GLA,Homo sapiens (Human),429,,,SIGNAL 1 31
15,83449.68291796194,84495.35441950812,74859.79801956295,14727.001386785289,15634.545703727646,15908.933416223446,786_NAP1L6,80934.945119011,15423.493502245501,-2.3916331664486,-5.24751056608724,786_NAP1L6,5.9070628987787e-10,3.26778418415103e-07,high,9.228628404722535,A6NFF2,A6NFF2,1,1,1,Putative nucleosome assembly protein 1-like 6,NAP1L6,sp|A6NFF2|NP1L6_HUMAN Putative nucleosome assembly protein 1-like 6 OS=Homo sapiens OX=9606 GN=NAP1L6 PE=5 SV=1,1,1,1,1,1,1,1,10.3,10.3,10.3,12.045,107,107,0.0033470999999999996,2.1556,NP1L6_HUMAN,NP1L6_HUMAN,A6NFF2,NP1L6_HUMAN,Putative nucleosome assembly protein 1-like 6,NAP1L6,Homo sapiens (Human),107,,,
16,35096.55881659409,34892.633793341825,33000.57503657846,14238.592506543106,15152.120138711762,15629.039533531524,872_PALM2,34329.9225488381,15006.5840595955,-1.19387098800093,-2.28765736509416,872_PALM2,8.973596838602859e-08,3.13112621893849e-06,high,7.0470334461360435,C9JA33;B1ALY0;Q8IXS6;C9JZH4,C9JA33;B1ALY0;Q8IXS6;C9JZH4,6;6;6;3,5;5;5;3,5;5;5;3,Paralemmin-2,PALM2;PALM2-AKAP2,tr|C9JA33|C9JA33_HUMAN Paralemmin-2 OS=Homo sapiens OX=9606 GN=PALM2 PE=1 SV=1;tr|B1ALY0|B1ALY0_HUMAN PALM2-AKAP2 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=PALM2-AKAP2 PE=1 SV=1;sp|Q8IXS6|PALM2_HUMAN Paralemmin-2 OS=Homo sapiens OX=9606 GN=PALM2 PE,4,6,5,5,6,5,5,16.7,14.9,14.9,41.924,377,377;433;379;180,0.0,25.565,PALM2_HUMAN,PALM2_HUMAN,Q8IXS6,PALM2_HUMAN,Paralemmin-2,PALM2,Homo sapiens (Human),379,,,
17,3119.2860102088043,5006.635960920694,4264.631948351924,1220.4958979327812,1180.529278141407,1436.560246165994,878_RGS5,4130.18463982714,1279.19514074673,-1.69096991513706,-3.22873696769686,878_RGS5,3.40547289615484e-05,0.000230916389026317,high,4.467822571877403,E9PS96;B1APM2;O15539,E9PS96;B1APM2;O15539,1;1;1,1;1;1,1;1;1,Regulator of G-protein signaling 5,RGS5,"tr|E9PS96|E9PS96_HUMAN Regulator of G-protein-signaling 5 (Fragment) OS=Homo sapiens OX=9606 GN=RGS5 PE=1 SV=1;tr|B1APM2|B1APM2_HUMAN Regulator of G-protein signalling 5, isoform CRA_a OS=Homo sapiens OX=9606 GN=RGS5 PE=1 SV=1;sp|O15539|RGS5_HUMAN Regulato",3,1,1,1,1,1,1,16.9,16.9,16.9,8.1873,71,71;201;181,0.0,4.5533,RGS5_HUMAN,RGS5_HUMAN,O15539,RGS5_HUMAN,Regulator of G-protein signaling 5 (RGS5),RGS5,Homo sapiens (Human),181,,,
18,17403.244522402252,23791.90043709813,21651.605375365772,5171.7658433058505,6762.0611521347455,6460.557575492069,953_POU2F2,20948.9167782887,6131.46152364422,-1.77257273980339,-3.4166269652847405,953_POU2F2,2.52278557364309e-06,3.0852918223405394e-05,high,5.598119661151491,U3KQ96;H0YNW1;H0YLL6;B5ME60;H0YKT2;P09086;H0YLC5;A0A0C4DG88;A0A0A0MT46;Q9UKI9;P14859;U3KQN1;A0A1B0GW97;A0A0D9SF23;A0A1B0GUT9;E9PR37;A0A1B0GV81;REV__Q6AHZ1,U3KQ96;H0YNW1;H0YLL6;B5ME60;H0YKT2;P09086;H0YLC5;A0A0C4DG88;A0A0A0MT46;Q9UKI9;P14859;U3KQN1,4;4;4;4;4;4;3;3;3;3;3;2;1;1;1;1;1;1,4;4;4;4;4;4;3;3;3;3;3;2;1;1;1;1;1;1,4;4;4;4;4;4;3;3;3;3;3;2;1;1;1;1;1;1,"POU domain protein;POU domain, class 2, transcription factor 2;POU domain, class 2, transcription factor 3;POU domain, class 2, transcription factor 1",POU2F2;POU2F3;POU2F1,"tr|U3KQ96|U3KQ96_HUMAN POU domain, class 2, transcription factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=POU2F2 PE=1 SV=1;tr|H0YNW1|H0YNW1_HUMAN POU domain protein OS=Homo sapiens OX=9606 GN=POU2F2 PE=1 SV=1;tr|H0YLL6|H0YLL6_HUMAN POU domain protein OS=Hom",18,4,4,4,4,4,4,16.4,16.4,16.4,28.53,262,262;424;485;586;618;479;160;561;594;436;743;320;105;112;116;117;163;1483,0.0,7.2554,U3KQ96_HUMAN,U3KQ96_HUMAN,U3KQ96,U3KQ96_HUMAN,"POU domain, class 2, transcription factor 2 (Fragment)",POU2F2,Homo sapiens (Human),262,,,
19,28782.83235530373,28256.32580863092,29612.892929954978,13753.341442336972,12762.606011992464,14748.254587997499,985_CPEB4,28884.0170312965,13754.734014108999,-1.0703431569052702,-2.0999327941688,985_CPEB4,5.12803905923794e-07,1.0605466445702901e-05,high,6.290048675543275,B7ZLQ8;Q17RY0;E5RFP2;E5RJM0;J3KN18;Q7Z5Q1;Q8NE35;H0YBG1;H0Y9D9,B7ZLQ8;Q17RY0;E5RFP2;E5RJM0;J3KN18;Q7Z5Q1;Q8NE35,4;4;3;3;2;2;2;1;1,4;4;3;3;2;2;2;1;1,4;4;3;3;2;2;2;1;1,Cytoplasmic polyadenylation element-binding protein 4;Cytoplasmic polyadenylation element-binding protein 2;Cytoplasmic polyadenylation element-binding protein 3,CPEB4;CPEB2;CPEB3,tr|B7ZLQ8|B7ZLQ8_HUMAN CPEB4 protein OS=Homo sapiens OX=9606 GN=CPEB4 PE=1 SV=1;sp|Q17RY0|CPEB4_HUMAN Cytoplasmic polyadenylation element-binding protein 4 OS=Homo sapiens OX=9606 GN=CPEB4 PE=1 SV=1;tr|E5RFP2|E5RFP2_HUMAN Cytoplasmic polyadenylation elemen,9,4,4,4,4,4,4,6.2,6.2,6.2,77.296,704,704;729;339;639;597;589;698;147;167,0.0,7.3151,CPEB4_HUMAN,CPEB4_HUMAN,Q17RY0,CPEB4_HUMAN,Cytoplasmic polyadenylation element-binding protein 4 (CPE-BP4) (CPE-binding protein 4) (hCPEB-4),CPEB4 KIAA1673,Homo sapiens (Human),729,,,
