Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Intramembrane	Subcellular location [CC]	Topological domain	Transit peptide	Propeptide	Glycosylation	Disulfide bond	Cross-link	Region	yourlist:M201905286746803381A1F0E0DB47453E0216320D186141C
P27701	CD82_HUMAN	reviewed	CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82)	CD82 KAI1 SAR2 ST6 TSPAN27	Homo sapiens (Human)	267	TRANSMEM 12 32 Helical. {ECO:0000255}.; TRANSMEM 54 72 Helical. {ECO:0000255}.; TRANSMEM 84 110 Helical. {ECO:0000255}.; TRANSMEM 229 250 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	TOPO_DOM 1 11 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 33 53 Extracellular. {ECO:0000255}.; TOPO_DOM 73 83 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 111 228 Extracellular. {ECO:0000255}.; TOPO_DOM 251 267 Cytoplasmic. {ECO:0000255}.			CARBOHYD 129 129 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 157 157 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 198 198 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.				P27701
Q99988	GDF15_HUMAN	reviewed	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor)	GDF15 MIC1 PDF PLAB PTGFB	Homo sapiens (Human)	308		SIGNAL 1 29 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28572090, ECO:0000269|PubMed:29046435}.			PROPEP 30 194 {ECO:0000255}. /FTId=PRO_0000033992.	CARBOHYD 70 70 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 203 210 {ECO:0000244|PDB:5VT2, ECO:0000244|PDB:5VZ3, ECO:0000244|PDB:5VZ4, ECO:0000269|PubMed:28953886, ECO:0000269|PubMed:29046435}.; DISULFID 211 274 {ECO:0000244|PDB:5VT2, ECO:0000244|PDB:5VZ3, ECO:0000244|PDB:5VZ4, ECO:0000269|PubMed:28953886, ECO:0000269|PubMed:29046435}.; DISULFID 240 305 {ECO:0000244|PDB:5VT2, ECO:0000244|PDB:5VZ3, ECO:0000244|PDB:5VZ4, ECO:0000269|PubMed:28953886, ECO:0000269|PubMed:29046435}.; DISULFID 244 307 {ECO:0000244|PDB:5VT2, ECO:0000244|PDB:5VZ3, ECO:0000244|PDB:5VZ4, ECO:0000269|PubMed:28953886, ECO:0000269|PubMed:29046435}.; DISULFID 273 273 Interchain. {ECO:0000244|PDB:5VT2, ECO:0000269|PubMed:29046435}.			Q99988
Q13478	IL18R_HUMAN	reviewed	Interleukin-18 receptor 1 (IL-18R-1) (IL-18R1) (CD218 antigen-like family member A) (CDw218a) (IL1 receptor-related protein) (IL-1Rrp) (IL1R-rp) (Interleukin-18 receptor alpha) (IL-18R-alpha) (IL-18Ralpha) (CD antigen CD218a)	IL18R1 IL1RRP	Homo sapiens (Human)	541	TRANSMEM 330 350 Helical. {ECO:0000255}.	SIGNAL 1 18 {ECO:0000269|PubMed:9325300}.		SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:14528293}; Single-pass type I membrane protein {ECO:0000305}.	TOPO_DOM 22 329 Extracellular. {ECO:0000255}.; TOPO_DOM 351 541 Cytoplasmic. {ECO:0000255}.			CARBOHYD 91 91 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000269|PubMed:25500532}.; CARBOHYD 102 102 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000269|PubMed:25500532}.; CARBOHYD 150 150 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000269|PubMed:25500532}.; CARBOHYD 197 197 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.; CARBOHYD 203 203 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.; CARBOHYD 236 236 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.; CARBOHYD 255 255 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 297 297 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.	DISULFID 22 41 {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.; DISULFID 43 81 {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.; DISULFID 119 158 {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.; DISULFID 140 185 {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000255|PROSITE-ProRule:PRU00114, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.; DISULFID 237 298 {ECO:0000244|PDB:3WO3, ECO:0000244|PDB:3WO4, ECO:0000244|PDB:4R6U, ECO:0000255|PROSITE-ProRule:PRU00114, ECO:0000269|PubMed:25261253, ECO:0000269|PubMed:25500532}.			Q13478
Q15582	BGH3_HUMAN	reviewed	Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)	TGFBI BIGH3	Homo sapiens (Human)	683		SIGNAL 1 23 {ECO:0000269|PubMed:8024701}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:18450759, ECO:0000269|PubMed:26273833, ECO:0000269|PubMed:8024701}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:8077289}. Note=May be associated both with microfibrils and with the cell surface (PubMed:8077289). {ECO:0000269|PubMed:8077289}.					DISULFID 49 85 {ECO:0000269|PubMed:27609313}.; DISULFID 74 339 {ECO:0000269|PubMed:27609313}.; DISULFID 84 97 {ECO:0000269|PubMed:27609313}.; DISULFID 214 317 {ECO:0000269|PubMed:27609313}.; DISULFID 473 478 {ECO:0000269|PubMed:27609313}.			Q15582
Q9H2J7	S6A15_HUMAN	reviewed	Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Sodium-coupled branched-chain amino-acid transporter 1) (Solute carrier family 6 member 15) (Transporter v7-3)	SLC6A15 B0AT2 NTT73 SBAT1	Homo sapiens (Human)	730	TRANSMEM 70 90 Helical; Name=1. {ECO:0000255}.; TRANSMEM 98 117 Helical; Name=2. {ECO:0000255}.; TRANSMEM 142 162 Helical; Name=3. {ECO:0000255}.; TRANSMEM 226 244 Helical; Name=4. {ECO:0000255}.; TRANSMEM 253 270 Helical; Name=5. {ECO:0000255}.; TRANSMEM 306 323 Helical; Name=6. {ECO:0000255}.; TRANSMEM 335 356 Helical; Name=7. {ECO:0000255}.; TRANSMEM 453 472 Helical; Name=8. {ECO:0000255}.; TRANSMEM 496 514 Helical; Name=9. {ECO:0000255}.; TRANSMEM 530 550 Helical; Name=10. {ECO:0000255}.; TRANSMEM 571 592 Helical; Name=11. {ECO:0000255}.; TRANSMEM 620 642 Helical; Name=12. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	TOPO_DOM 1 69 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 163 225 Extracellular. {ECO:0000255}.; TOPO_DOM 357 452 Extracellular. {ECO:0000255}.; TOPO_DOM 643 730 Cytoplasmic. {ECO:0000255}.			CARBOHYD 187 187 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 213 213 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 383 383 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 394 394 N-linked (GlcNAc...) asparagine. {ECO:0000255}.				Q9H2J7
P15121	ALDR_HUMAN	reviewed	Aldo-keto reductase family 1 member B1 (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR) (EC 1.1.1.21)	AKR1B1 ALDR1 ALR2	Homo sapiens (Human)	316				SUBCELLULAR LOCATION: Cytoplasm.								P15121
Q9BY76	ANGL4_HUMAN	reviewed	Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP) [Cleaved into: ANGPTL4 N-terminal chain; ANGPTL4 C-terminal chain]	ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197	Homo sapiens (Human)	406		SIGNAL 1 25 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10698685, ECO:0000269|PubMed:14583458, ECO:0000269|PubMed:17068295, ECO:0000269|PubMed:19270337, ECO:0000269|PubMed:21398697, ECO:0000269|PubMed:29899519}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17068295, ECO:0000269|PubMed:21398697}. Note=The unprocessed form interacts with the extracellular matrix (PubMed:17068295, PubMed:21398697). This may constitute a dynamic reservoir, a regulatory mechanism of the bioavailability of ANGPTL4 (Probable). {ECO:0000269|PubMed:17068295, ECO:0000269|PubMed:21398697, ECO:0000305|PubMed:17068295}.				CARBOHYD 177 177 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 188 216 {ECO:0000244|PDB:6EUB, ECO:0000255|PROSITE-ProRule:PRU00739, ECO:0000269|PubMed:29713054}.; DISULFID 341 354 {ECO:0000244|PDB:6EUB, ECO:0000255|PROSITE-ProRule:PRU00739, ECO:0000269|PubMed:29713054}.			Q9BY76
Q96B97	SH3K1_HUMAN	reviewed	SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)	SH3KBP1 CIN85	Homo sapiens (Human)	665				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20221403}. Cytoplasm, cytoskeleton. Cytoplasmic vesicle membrane; Peripheral membrane protein. Cell junction, synapse, synaptosome. Cell junction, focal adhesion {ECO:0000250}. Note=Localized in endocytic vesicles containing clustered receptors. Colocalizes with ASAP1 in vesicular structures. Colocalized with actin microfilaments and focal adhesions (By similarity). Colocalized with MAGI2 in synaptosomes. Translocation to EGFR containing vesicles upon EGF stimulation is inhibited in the presence of SH3KBP1 (By similarity). Colocalizes with ZFP36 in the cytoplasm (PubMed:20221403). {ECO:0000250|UniProtKB:Q8R550, ECO:0000269|PubMed:20221403}.								Q96B97
Q24JP5	T132A_HUMAN	reviewed	Transmembrane protein 132A (HSPA5-binding protein 1)	TMEM132A HSPA5BP1 KIAA1583	Homo sapiens (Human)	1023	TRANSMEM 853 873 Helical. {ECO:0000255}.	SIGNAL 1 35 {ECO:0000255}.		SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	TOPO_DOM 36 852 Extracellular. {ECO:0000255}.; TOPO_DOM 874 1023 Cytoplasmic. {ECO:0000255}.			CARBOHYD 280 280 N-linked (GlcNAc...) asparagine. {ECO:0000255}.			REGION 611 916 Binds to HSPA5/GRP78. {ECO:0000250}.; REGION 671 1023 Confers cellular localization similar to full-length form. {ECO:0000250}.	Q24JP5
P48681	NEST_HUMAN	reviewed	Nestin	NES Nbla00170	Homo sapiens (Human)	1621										CROSSLNK 811 811 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate. {ECO:0000244|PubMed:25114211}.; CROSSLNK 811 811 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate. {ECO:0000244|PubMed:28112733}.	REGION 1 7 Head.; REGION 8 43 Coil 1A.; REGION 44 55 Linker 1.; REGION 56 151 Coil 1B.; REGION 152 173 Linker 12.; REGION 174 192 Coil 2A.; REGION 193 195 Linker 2.; REGION 196 313 Coil 2B.; REGION 314 1621 Tail.	P48681
P08254	MMP3_HUMAN	reviewed	Stromelysin-1 (SL-1) (EC 3.4.24.17) (Matrix metalloproteinase-3) (MMP-3) (Transin-1)	MMP3 STMY1	Homo sapiens (Human)	477		SIGNAL 1 17 {ECO:0000305|PubMed:3360803}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}.			PROPEP 18 99 Activation peptide. /FTId=PRO_0000028728.		DISULFID 290 477 {ECO:0000250}.			P08254
Q96SQ9	CP2S1_HUMAN	reviewed	Cytochrome P450 2S1 (EC 1.14.14.1) (CYPIIS1)	CYP2S1 UNQ891/PRO1906	Homo sapiens (Human)	504				SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11181079}; Peripheral membrane protein {ECO:0000269|PubMed:11181079}. Microsome membrane {ECO:0000269|PubMed:11181079}; Peripheral membrane protein {ECO:0000269|PubMed:11181079}.								Q96SQ9
O95757	HS74L_HUMAN	reviewed	Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94)	HSPA4L APG1 OSP94	Homo sapiens (Human)	839				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=May translocate to the nucleus after heat shock. {ECO:0000250}.								O95757
O00534	VMA5A_HUMAN	reviewed	von Willebrand factor A domain-containing protein 5A (Breast cancer suppressor candidate 1) (BCSC-1) (Loss of heterozygosity 11 chromosomal region 2 gene A protein)	VWA5A BCSC1 LOH11CR2A	Homo sapiens (Human)	786												O00534
P14210	HGF_HUMAN	reviewed	Hepatocyte growth factor (Hepatopoietin-A) (Scatter factor) (SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain]	HGF HPTA	Homo sapiens (Human)	728		SIGNAL 1 31 {ECO:0000269|PubMed:1826837}.						CARBOHYD 294 294 N-linked (GlcNAc...) (complex) asparagine. /FTId=CAR_000021.; CARBOHYD 402 402 N-linked (GlcNAc...) (complex) asparagine. /FTId=CAR_000022.; CARBOHYD 476 476 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:1482348}. /FTId=CAR_000023.; CARBOHYD 566 566 N-linked (GlcNAc...) (complex) asparagine. /FTId=CAR_000024.; CARBOHYD 653 653 N-linked (GlcNAc...) (complex) asparagine. /FTId=CAR_000025.	DISULFID 70 96; DISULFID 74 84; DISULFID 128 206; DISULFID 149 189; DISULFID 177 201; DISULFID 211 288 {ECO:0000250}.; DISULFID 232 271 {ECO:0000250}.; DISULFID 260 283 {ECO:0000250}.; DISULFID 305 383 {ECO:0000250}.; DISULFID 326 365 {ECO:0000250}.; DISULFID 354 377 {ECO:0000250}.; DISULFID 391 469 {ECO:0000250}.; DISULFID 412 452 {ECO:0000250}.; DISULFID 440 464 {ECO:0000250}.; DISULFID 487 604 Interchain (between alpha and beta chains). {ECO:0000255|PROSITE-ProRule:PRU00121, ECO:0000255|PROSITE-ProRule:PRU00274, ECO:0000255|PROSITE-ProRule:PRU00315}.; DISULFID 519 535 {ECO:0000250}.; DISULFID 612 679 {ECO:0000250}.; DISULFID 642 658 {ECO:0000250}.; DISULFID 669 697 {ECO:0000250}.			P14210
P01033	TIMP1_HUMAN	reviewed	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	TIMP1 CLGI TIMP	Homo sapiens (Human)	207		SIGNAL 1 23 {ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1653055, ECO:0000269|PubMed:1730286, ECO:0000269|PubMed:3010309, ECO:0000269|PubMed:3839290, ECO:0000269|PubMed:3903517}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1730286, ECO:0000269|PubMed:24635319, ECO:0000269|PubMed:3010309, ECO:0000269|PubMed:3839290, ECO:0000269|PubMed:3903517, ECO:0000269|PubMed:8541540}.				CARBOHYD 53 53 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:16740002, ECO:0000269|PubMed:19139490}. /FTId=CAR_000002.; CARBOHYD 101 101 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16740002}. /FTId=CAR_000003.	DISULFID 24 93 {ECO:0000255|PROSITE-ProRule:PRU00295, ECO:0000269|PubMed:2163605}.; DISULFID 26 122 {ECO:0000269|PubMed:10623524, ECO:0000269|PubMed:20545310, ECO:0000269|PubMed:2163605, ECO:0000269|PubMed:22427646, ECO:0000269|PubMed:3010309}.; DISULFID 36 147 {ECO:0000269|PubMed:10623524, ECO:0000269|PubMed:20545310, ECO:0000269|PubMed:2163605, ECO:0000269|PubMed:22427646, ECO:0000269|PubMed:3010309}.; DISULFID 150 197 {ECO:0000269|PubMed:10623524, ECO:0000269|PubMed:20545310, ECO:0000269|PubMed:2163605, ECO:0000269|PubMed:22427646, ECO:0000269|PubMed:3010309}.; DISULFID 155 160 {ECO:0000269|PubMed:10623524, ECO:0000269|PubMed:20545310, ECO:0000269|PubMed:2163605, ECO:0000269|PubMed:22427646, ECO:0000269|PubMed:3010309}.; DISULFID 168 189 {ECO:0000269|PubMed:10623524, ECO:0000269|PubMed:20545310, ECO:0000269|PubMed:2163605, ECO:0000269|PubMed:22427646, ECO:0000269|PubMed:3010309}.		REGION 24 27 Involved in metalloproteinase-binding. {ECO:0000244|PDB:3V96, ECO:0000269|PubMed:22427646}.; REGION 90 91 Involved in metalloproteinase-binding. {ECO:0000244|PDB:3V96, ECO:0000269|PubMed:22427646}.; REGION 179 180 Involved in metalloproteinase-binding. {ECO:0000244|PDB:3V96, ECO:0000269|PubMed:22427646}.	P01033
Q9UI15	TAGL3_HUMAN	reviewed	Transgelin-3 (Neuronal protein 22) (NP22) (Neuronal protein NP25)	TAGLN3 NP25	Homo sapiens (Human)	199												Q9UI15
P28290	ITPI2_HUMAN	reviewed	Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2)	ITPRID2 CS1 KIAA1927 KRAP SSFA2	Homo sapiens (Human)	1259				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14673706}. Note=Located near the plasma membrane. Associated with actin filaments. May also exist as a membrane-bound form with extracellular regions.						CROSSLNK 360 360 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2). {ECO:0000244|PubMed:28112733}.; CROSSLNK 808 808 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2). {ECO:0000244|PubMed:25218447, ECO:0000244|PubMed:28112733}.		P28290
P03372	ESR1_HUMAN	reviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595				SUBCELLULAR LOCATION: Isoform 1: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407, ECO:0000269|PubMed:12682286, ECO:0000269|PubMed:20074560}. Cytoplasm {ECO:0000269|PubMed:12682286, ECO:0000269|PubMed:24498420}. Cell membrane {ECO:0000269|PubMed:12682286}; Peripheral membrane protein {ECO:0000269|PubMed:12682286}; Cytoplasmic side {ECO:0000269|PubMed:12682286}. Note=A minor fraction is associated with the inner membrane.; SUBCELLULAR LOCATION: Isoform 3: Nucleus. Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell membrane; Single-pass type I membrane protein. Note=Associated with the inner membrane via palmitoylation (Probable). At least a subset exists as a transmembrane protein with a N-terminal extracellular domain. {ECO:0000305}.; SUBCELLULAR LOCATION: Nucleus. Golgi apparatus. Cell membrane. Note=Colocalizes with ZDHHC7 and ZDHHC21 in the Golgi apparatus where most probably palmitoylation occurs. Associated with the plasma membrane when palmitoylated.				CARBOHYD 10 10 O-linked (GlcNAc) serine. {ECO:0000250}.			REGION 1 184 Modulating (transactivation AF-1); mediates interaction with MACROD1. {ECO:0000269|PubMed:17914104}.; REGION 35 174 Interaction with DDX5; self-association.; REGION 35 47 Required for interaction with NCOA1.; REGION 185 310 Mediates interaction with DNTTIP2. {ECO:0000269|PubMed:15047147}.; REGION 251 310 Hinge.; REGION 262 595 Interaction with AKAP13. {ECO:0000269|PubMed:9627117}.; REGION 264 595 Self-association.; REGION 311 595 Transactivation AF-2.	P03372
P35354	PGH2_HUMAN	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Homo sapiens (Human)	604		SIGNAL 1 17 {ECO:0000255}.		SUBCELLULAR LOCATION: Microsome membrane; Peripheral membrane protein. Endoplasmic reticulum membrane; Peripheral membrane protein.				CARBOHYD 53 53 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5F19, ECO:0000244|PDB:5F1A, ECO:0000244|PDB:5IKQ, ECO:0000244|PDB:5IKT, ECO:0000269|PubMed:26859324, ECO:0000269|PubMed:27226593}.; CARBOHYD 130 130 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5F19, ECO:0000244|PDB:5F1A, ECO:0000244|PDB:5IKQ, ECO:0000244|PDB:5IKR, ECO:0000244|PDB:5IKT, ECO:0000244|PDB:5IKV, ECO:0000244|PDB:5KIR, ECO:0000269|PubMed:26859324, ECO:0000269|PubMed:27226593, ECO:0000269|PubMed:27710942}.; CARBOHYD 396 396 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5F19, ECO:0000244|PDB:5F1A, ECO:0000244|PDB:5IKQ, ECO:0000244|PDB:5IKR, ECO:0000244|PDB:5IKT, ECO:0000244|PDB:5IKV, ECO:0000244|PDB:5KIR, ECO:0000269|PubMed:26859324, ECO:0000269|PubMed:27226593, ECO:0000269|PubMed:27710942}.; CARBOHYD 580 580 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17113084}.	DISULFID 21 32 {ECO:0000244|PDB:5F19, ECO:0000244|PDB:5F1A, ECO:0000244|PDB:5IKQ, ECO:0000244|PDB:5IKR, ECO:0000244|PDB:5IKT, ECO:0000244|PDB:5IKV, ECO:0000244|PDB:5KIR, ECO:0000269|PubMed:26859324, ECO:0000269|PubMed:27226593, ECO:0000269|PubMed:27710942}.; DISULFID 22 145 {ECO:0000244|PDB:5F19, ECO:0000244|PDB:5F1A, ECO:0000244|PDB:5IKQ, ECO:0000244|PDB:5IKR, ECO:0000244|PDB:5IKT, ECO:0000244|PDB:5IKV, ECO:0000244|PDB:5KIR, ECO:0000269|PubMed:26859324, ECO:0000269|PubMed:27226593, ECO:0000269|PubMed:27710942}.; DISULFID 26 42 {ECO:0000244|PDB:5F19, ECO:0000244|PDB:5F1A, ECO:0000244|PDB:5IKQ, ECO:0000244|PDB:5IKR, ECO:0000244|PDB:5IKT, ECO:0000244|PDB:5IKV, ECO:0000244|PDB:5KIR, ECO:0000269|PubMed:26859324, ECO:0000269|PubMed:27226593, ECO:0000269|PubMed:27710942}.; DISULFID 44 54 {ECO:0000244|PDB:5F19, ECO:0000244|PDB:5F1A, ECO:0000244|PDB:5IKQ, ECO:0000244|PDB:5IKR, ECO:0000244|PDB:5IKT, ECO:0000244|PDB:5IKV, ECO:0000244|PDB:5KIR, ECO:0000269|PubMed:26859324, ECO:0000269|PubMed:27226593, ECO:0000269|PubMed:27710942}.; DISULFID 555 561 {ECO:0000244|PDB:5F19, ECO:0000244|PDB:5F1A, ECO:0000244|PDB:5IKQ, ECO:0000244|PDB:5IKR, ECO:0000244|PDB:5IKT, ECO:0000244|PDB:5IKV, ECO:0000244|PDB:5KIR, ECO:0000269|PubMed:26859324, ECO:0000269|PubMed:27226593, ECO:0000269|PubMed:27710942}.			P35354
Q16719	KYNU_HUMAN	reviewed	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	KYNU	Homo sapiens (Human)	465				SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000255|HAMAP-Rule:MF_03017, ECO:0000269|PubMed:8706755}.							REGION 165 168 Pyridoxal phosphate binding.	Q16719
P26022	PTX3_HUMAN	reviewed	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	PTX3 TNFAIP5 TSG14	Homo sapiens (Human)	381		SIGNAL 1 17 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted.				CARBOHYD 220 220 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 47 47 Interchain. {ECO:0000269|PubMed:18223257}.; DISULFID 49 49 Interchain. {ECO:0000269|PubMed:18223257}.; DISULFID 103 103 Interchain. {ECO:0000269|PubMed:18223257}.; DISULFID 179 357 {ECO:0000269|PubMed:18223257}.; DISULFID 210 271 {ECO:0000255|PROSITE-ProRule:PRU01172, ECO:0000269|PubMed:18223257}.; DISULFID 317 317 Interchain. {ECO:0000269|PubMed:18223257}.; DISULFID 318 318 Interchain. {ECO:0000269|PubMed:18223257}.			P26022
P20908	CO5A1_HUMAN	reviewed	Collagen alpha-1(V) chain	COL5A1	Homo sapiens (Human)	1838		SIGNAL 1 37 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.			PROPEP 1606 1838 C-terminal propeptide. /FTId=PRO_0000005757.		DISULFID 1639 1671 {ECO:0000255|PROSITE-ProRule:PRU00793}.; DISULFID 1645 1645 Interchain (with C-1662). {ECO:0000255|PROSITE-ProRule:PRU00793}.; DISULFID 1662 1662 Interchain (with C-1645). {ECO:0000255|PROSITE-ProRule:PRU00793}.; DISULFID 1680 1835 {ECO:0000255|PROSITE-ProRule:PRU00793}.; DISULFID 1746 1789 {ECO:0000255|PROSITE-ProRule:PRU00793}.		REGION 231 443 Nonhelical region.; REGION 444 558 Interrupted collagenous region.; REGION 559 1570 Triple-helical region.; REGION 1571 1605 Nonhelical region.	P20908
