ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
CATB_HUMAN	cathepsin B(CTSB)	Homo sapiens				GO:0002224~toll-like receptor signaling pathway,GO:0006508~proteolysis,GO:0030574~collagen catabolic process,GO:0030855~epithelial cell differentiation,GO:0042981~regulation of apoptotic process,GO:0046697~decidualization,GO:0046718~viral entry into host cell,GO:0050790~regulation of catalytic activity,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0097067~cellular response to thyroid hormone stimulus,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,GO:0005730~nucleolus,GO:0005739~mitochondrion,GO:0005764~lysosome,GO:0036021~endolysosome lumen,GO:0042470~melanosome,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0004197~cysteine-type endopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0005518~collagen binding,GO:0008233~peptidase activity,GO:0008234~cysteine-type peptidase activity,GO:0016787~hydrolase activity,GO:0043394~proteoglycan binding,	IPR000169:Cysteine peptidase, cysteine active site,IPR000668:Peptidase C1A, papain C-terminal,IPR012599:Peptidase C1A, propeptide,IPR013128:Peptidase C1A, papain,IPR025660:Cysteine peptidase, histidine active site,IPR025661:Cysteine peptidase, asparagine active site,	hsa04142:Lysosome,hsa04612:Antigen processing and presentation,hsa04924:Renin secretion,			SM00645:Pept_C1,	3D-structure,Acetylation,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Hydrolase,Lysosome,Polymorphism,Protease,Proteomics identification,Reference proteome,Secreted,Signal,Thiol protease,Zymogen,	chain:Cathepsin B,chain:Cathepsin B heavy chain,chain:Cathepsin B light chain,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,propeptide:Activation peptide,sequence conflict,sequence variant,signal peptide,strand,turn,
CATL1_HUMAN	cathepsin L(CTSL)	Homo sapiens				GO:0002224~toll-like receptor signaling pathway,GO:0002250~adaptive immune response,GO:0006508~proteolysis,GO:0019882~antigen processing and presentation,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0022617~extracellular matrix disassembly,GO:0030574~collagen catabolic process,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0071888~macrophage apoptotic process,GO:0097067~cellular response to thyroid hormone stimulus,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005764~lysosome,GO:0036021~endolysosome lumen,GO:0043202~lysosomal lumen,GO:0070062~extracellular exosome,	GO:0001968~fibronectin binding,GO:0004197~cysteine-type endopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0005518~collagen binding,GO:0008234~cysteine-type peptidase activity,GO:0042393~histone binding,GO:0043394~proteoglycan binding,GO:0097655~serpin family protein binding,	IPR000169:Cysteine peptidase, cysteine active site,IPR000668:Peptidase C1A, papain C-terminal,IPR013128:Peptidase C1A, papain,IPR013201:Proteinase inhibitor I29, cathepsin propeptide,IPR025660:Cysteine peptidase, histidine active site,IPR025661:Cysteine peptidase, asparagine active site,	hsa04142:Lysosome,hsa04145:Phagosome,hsa04612:Antigen processing and presentation,hsa05205:Proteoglycans in cancer,hsa05323:Rheumatoid arthritis,			SM00645:Pept_C1,SM00848:SM00848,	3D-structure,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Hydrolase,Lysosome,Protease,Proteomics identification,Reference proteome,Signal,Thiol protease,Zymogen,	chain:Cathepsin L1 heavy chain,chain:Cathepsin L1 light chain,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,propeptide:Activation peptide,sequence conflict,signal peptide,strand,turn,
CATS_HUMAN	cathepsin S(CTSS)	Homo sapiens				GO:0002224~toll-like receptor signaling pathway,GO:0002250~adaptive immune response,GO:0006508~proteolysis,GO:0006955~immune response,GO:0010447~response to acidic pH,GO:0016485~protein processing,GO:0019882~antigen processing and presentation,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0022617~extracellular matrix disassembly,GO:0030574~collagen catabolic process,GO:0034769~basement membrane disassembly,GO:0048002~antigen processing and presentation of peptide antigen,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0097067~cellular response to thyroid hormone stimulus,GO:2001259~positive regulation of cation channel activity,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005764~lysosome,GO:0036021~endolysosome lumen,GO:0043202~lysosomal lumen,GO:0043231~intracellular membrane-bounded organelle,	GO:0001968~fibronectin binding,GO:0004197~cysteine-type endopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0005518~collagen binding,GO:0008234~cysteine-type peptidase activity,GO:0043236~laminin binding,GO:0043394~proteoglycan binding,	IPR000169:Cysteine peptidase, cysteine active site,IPR000668:Peptidase C1A, papain C-terminal,IPR013128:Peptidase C1A, papain,IPR013201:Proteinase inhibitor I29, cathepsin propeptide,IPR025660:Cysteine peptidase, histidine active site,IPR025661:Cysteine peptidase, asparagine active site,	hsa04142:Lysosome,hsa04145:Phagosome,hsa04612:Antigen processing and presentation,hsa05152:Tuberculosis,			SM00645:Pept_C1,SM00848:SM00848,	3D-structure,Alternative splicing,Complete proteome,Disulfide bond,Glycoprotein,Hydrolase,Lysosome,Polymorphism,Protease,Proteomics identification,Reference proteome,Signal,Thiol protease,Zymogen,	chain:Cathepsin S,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,propeptide:Activation peptide,sequence conflict,sequence variant,signal peptide,strand,turn,
CATZ_HUMAN	cathepsin Z(CTSZ)	Homo sapiens				GO:0002003~angiotensin maturation,GO:0006508~proteolysis,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0048208~COPII vesicle coating,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0060441~epithelial tube branching involved in lung morphogenesis,	GO:0000139~Golgi membrane,GO:0005615~extracellular space,GO:0005764~lysosome,GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,GO:0005886~plasma membrane,GO:0030134~ER to Golgi transport vesicle,GO:0033116~endoplasmic reticulum-Golgi intermediate compartment membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,	GO:0004197~cysteine-type endopeptidase activity,GO:0005515~protein binding,GO:0008234~cysteine-type peptidase activity,	IPR000668:Peptidase C1A, papain C-terminal,IPR013128:Peptidase C1A, papain,IPR025661:Cysteine peptidase, asparagine active site,	hsa04142:Lysosome,			SM00645:Pept_C1,	3D-structure,Complete proteome,Disulfide bond,Glycoprotein,Hydrolase,Lysosome,Polymorphism,Protease,Reference proteome,Signal,Thiol protease,Zymogen,	chain:Cathepsin Z,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,propeptide:Activation peptide,sequence conflict,sequence variant,signal peptide,strand,turn,
CK096_HUMAN	chromosome 11 open reading frame 96(C11orf96)	Homo sapiens												Complete proteome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Protein Ag2 homolog,compositionally biased region:Pro-rich,modified residue,sequence variant,
NMES1_HUMAN	chromosome 15 open reading frame 48(C15orf48)	Homo sapiens				GO:0055114~oxidation-reduction process,GO:1902600~hydrogen ion transmembrane transport,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005751~mitochondrial respiratory chain complex IV,GO:0016021~integral component of membrane,	GO:0004129~cytochrome-c oxidase activity,GO:0008137~NADH dehydrogenase (ubiquinone) activity,	IPR010530:NADH-ubiquinone reductase complex 1 MLRQ subunit,					Complete proteome,Membrane,Nucleus,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Normal mucosa of esophagus-specific gene 1 protein,
TF_HUMAN	coagulation factor III, tissue factor(F3)	Homo sapiens		h_extrinsicPathway:Extrinsic Prothrombin Activation Pathway,		GO:0001938~positive regulation of endothelial cell proliferation,GO:0002541~activation of plasma proteins involved in acute inflammatory response,GO:0002543~activation of blood coagulation via clotting cascade,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0007596~blood coagulation,GO:0007598~blood coagulation, extrinsic pathway,GO:0010641~positive regulation of platelet-derived growth factor receptor signaling pathway,GO:0016485~protein processing,GO:0019221~cytokine-mediated signaling pathway,GO:0030335~positive regulation of cell migration,GO:0045766~positive regulation of angiogenesis,GO:0050927~positive regulation of positive chemotaxis,GO:0051897~positive regulation of protein kinase B signaling,	GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0031012~extracellular matrix,GO:0031233~intrinsic component of external side of plasma membrane,GO:0070062~extracellular exosome,GO:1905286~serine-type peptidase complex,	GO:0002020~protease binding,GO:0004252~serine-type endopeptidase activity,GO:0004896~cytokine receptor activity,GO:0005515~protein binding,GO:0005543~phospholipid binding,	IPR001187:Tissue factor,IPR003961:Fibronectin, type III,IPR013783:Immunoglobulin-like fold,IPR015373:Interferon alpha/beta receptor, beta chain,IPR016354:Tissue factor/coagulation factor III,	hsa04610:Complement and coagulation cascades,		PIRSF002498:tissue factor/coagulation factor III,		3D-structure,Alternative splicing,Blood coagulation,Complete proteome,Disulfide bond,Glycoprotein,Hemostasis,Lipoprotein,Membrane,Palmitate,Polymorphism,Reference proteome,Secreted,Signal,Transmembrane,Transmembrane helix,	chain:tissue factor,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,lipid moiety-binding region:S-palmitoyl cysteine,sequence conflict,sequence variant,short sequence motif:WKS motif,signal peptide,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
CO4A2_HUMAN	collagen type IV alpha 2 chain(COL4A2)	Homo sapiens		h_ace2Pathway:Angiotensin-converting enzyme 2 regulates heart function,h_amiPathway:Acute Myocardial Infarction,h_intrinsicPathway:Intrinsic Prothrombin Activation Pathway,h_npp1Pathway:Regulators of Bone Mineralization,h_plateletAppPathway:Platelet Amyloid Precursor Protein Pathway,h_vitCBPathway:Vitamin C in the Brain,		GO:0001525~angiogenesis,GO:0006351~transcription, DNA-templated,GO:0016525~negative regulation of angiogenesis,GO:0030198~extracellular matrix organization,GO:0030574~collagen catabolic process,GO:0035987~endodermal cell differentiation,GO:0038063~collagen-activated tyrosine kinase receptor signaling pathway,GO:0071560~cellular response to transforming growth factor beta stimulus,	GO:0005576~extracellular region,GO:0005587~collagen type IV trimer,GO:0005788~endoplasmic reticulum lumen,GO:0031012~extracellular matrix,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,	GO:0005201~extracellular matrix structural constituent,GO:0005515~protein binding,	IPR001442:Collagen IV, non-collagenous,IPR008160:Collagen triple helix repeat,IPR016187:C-type lectin fold,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04974:Protein digestion and absorption,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,	614483~Porencephaly 2,614519~Hemorrhage, intracerebral, susceptibility to,		SM00111:C4,	3D-structure,Angiogenesis,Basement membrane,Collagen,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Extracellular matrix,Glycoprotein,Hydroxylation,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Canstatin,chain:Collagen alpha-2(IV) chain,disulfide bond,domain:Collagen IV NC1,glycosylation site:N-linked (GlcNAc...),helix,propeptide:N-terminal propeptide (7S domain),region of interest:Triple-helical region,sequence conflict,sequence variant,signal peptide,strand,turn,
CO5A1_HUMAN	collagen type V alpha 1 chain(COL5A1)	Homo sapiens				GO:0001568~blood vessel development,GO:0003007~heart morphogenesis,GO:0007155~cell adhesion,GO:0016477~cell migration,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0030574~collagen catabolic process,GO:0032964~collagen biosynthetic process,GO:0035313~wound healing, spreading of epidermal cells,GO:0035989~tendon development,GO:0043206~extracellular fibril organization,GO:0043588~skin development,GO:0045112~integrin biosynthetic process,GO:0048592~eye morphogenesis,GO:0051128~regulation of cellular component organization,GO:1903225~negative regulation of endodermal cell differentiation,	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen trimer,GO:0005588~collagen type V trimer,GO:0005604~basement membrane,GO:0005788~endoplasmic reticulum lumen,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,	GO:0005178~integrin binding,GO:0005201~extracellular matrix structural constituent,GO:0008201~heparin binding,GO:0043394~proteoglycan binding,GO:0046872~metal ion binding,GO:0048407~platelet-derived growth factor binding,	IPR000885:Fibrillar collagen, C-terminal,IPR001791:Laminin G domain,IPR008160:Collagen triple helix repeat,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04611:Platelet activation,hsa04974:Protein digestion and absorption,hsa05146:Amoebiasis,	130000~Ehlers-Danlos syndrome, classic type,		SM00038:COLFI,SM00210:TSPN,SM00282:LamG,	3D-structure,Calcium,Collagen,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Ehlers-Danlos syndrome,Extracellular matrix,Heparin-binding,Hydroxylation,Metal-binding,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,Sulfation,	chain:Collagen alpha-1(V) chain,domain:Fibrillar collagen NC1,domain:Laminin G-like,domain:TSP N-terminal,modified residue,propeptide:C-terminal propeptide,region of interest:Interrupted collagenous region,region of interest:Nonhelical region,region of interest:Triple-helical region,sequence conflict,sequence variant,signal peptide,
CO7A1_HUMAN	collagen type VII alpha 1 chain(COL7A1)	Homo sapiens				GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007155~cell adhesion,GO:0008544~epidermis development,GO:0010951~negative regulation of endopeptidase activity,GO:0030198~extracellular matrix organization,GO:0030574~collagen catabolic process,GO:0035987~endodermal cell differentiation,GO:0048208~COPII vesicle coating,	GO:0000139~Golgi membrane,GO:0005576~extracellular region,GO:0005581~collagen trimer,GO:0005590~collagen type VII trimer,GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0030134~ER to Golgi transport vesicle,GO:0031012~extracellular matrix,GO:0033116~endoplasmic reticulum-Golgi intermediate compartment membrane,	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005515~protein binding,GO:0042802~identical protein binding,	IPR002035:von Willebrand factor, type A,IPR002223:Proteinase inhibitor I2, Kunitz metazoa,IPR003961:Fibronectin, type III,IPR008160:Collagen triple helix repeat,IPR013783:Immunoglobulin-like fold,IPR020901:Proteinase inhibitor I2, Kunitz, conserved site,	hsa04974:Protein digestion and absorption,	131705~Transient bullous of the newborn,131750~Epidermolysis bullosa dystrophica, AD,131850~Epidermolysis bullosa, pretibial,132000~EBD, Bart type,226600~EBD inversa,226600~Epidermolysis bullosa dystrophica, AR,604129~Epidermolysis bullosa pruriginosa,607523~Toenail dystrophy, isolated,EBD, localisata variant~EBD, localisata variant,		SM00060:FN3,SM00327:VWA,	Alternative splicing,Basement membrane,Cell adhesion,Collagen,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Epidermolysis bullosa,Extracellular matrix,Glycoprotein,Hydroxylation,Polymorphism,Protease inhibitor,Proteomics identification,Reference proteome,Repeat,Secreted,Serine protease inhibitor,Signal,	chain:Collagen alpha-1(VII) chain,disulfide bond,domain:BPTI/Kunitz inhibitor,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Fibronectin type-III 5,domain:Fibronectin type-III 6,domain:Fibronectin type-III 7,domain:Fibronectin type-III 8,domain:Fibronectin type-III 9,domain:VWFA 1,domain:VWFA 2,glycosylation site:N-linked (GlcNAc...),glycosylation site:O-linked (Gal...),modified residue,region of interest:Interrupted collagenous region,region of interest:Nonhelical region (NC1),region of interest:Nonhelical region (NC2),region of interest:Triple-helical region,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,site:Reactive bond,splice variant,
CYTC_HUMAN	cystatin C(CST3)	Homo sapiens				GO:0001654~eye development,GO:0001666~response to hypoxia,GO:0001775~cell activation,GO:0006915~apoptotic process,GO:0006952~defense response,GO:0007420~brain development,GO:0007431~salivary gland development,GO:0007566~embryo implantation,GO:0008284~positive regulation of cell proliferation,GO:0009636~response to toxic substance,GO:0009743~response to carbohydrate,GO:0010466~negative regulation of peptidase activity,GO:0010711~negative regulation of collagen catabolic process,GO:0010716~negative regulation of extracellular matrix disassembly,GO:0031667~response to nutrient levels,GO:0032355~response to estradiol,GO:0034103~regulation of tissue remodeling,GO:0042493~response to drug,GO:0042747~circadian sleep/wake cycle, REM sleep,GO:0043067~regulation of programmed cell death,GO:0043206~extracellular fibril organization,GO:0044267~cellular protein metabolic process,GO:0045740~positive regulation of DNA replication,GO:0045861~negative regulation of proteolysis,GO:0048678~response to axon injury,GO:0060009~Sertoli cell development,GO:0060311~negative regulation of elastin catabolic process,GO:0060313~negative regulation of blood vessel remodeling,GO:0060548~negative regulation of cell death,GO:0070301~cellular response to hydrogen peroxide,GO:2000117~negative regulation of cysteine-type endopeptidase activity,	GO:0005576~extracellular region,GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0005764~lysosome,GO:0005771~multivesicular body,GO:0005783~endoplasmic reticulum,GO:0030424~axon,GO:0031965~nuclear membrane,GO:0031982~vesicle,GO:0043025~neuronal cell body,GO:0043292~contractile fiber,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0001540~beta-amyloid binding,GO:0002020~protease binding,GO:0004866~endopeptidase inhibitor activity,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0005515~protein binding,GO:0042802~identical protein binding,	IPR000010:Proteinase inhibitor I25, cystatin,IPR018073:Proteinase inhibitor I25, cystatin, conserved site,IPR027214:Cystatin,	hsa04970:Salivary secretion,	105150~Cerebral amyloid angiopathy,611953~Macular degeneration, age-related, 11,		SM00043:CY,	3D-structure,Age-related macular degeneration,Amyloid,Amyloidosis,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Phosphoprotein,Polymorphism,Protease inhibitor,Reference proteome,Secreted,Signal,Thiol protease inhibitor,	chain:Cystatin-C,disulfide bond,helix,mutagenesis site,sequence variant,short sequence motif:Secondary area of contact,signal peptide,site:Reactive site,strand,turn,
CP2S1_HUMAN	cytochrome P450 family 2 subfamily S member 1(CYP2S1)	Homo sapiens			Secondary metabolites biosynthesis, transport, and catabolism,	GO:0055114~oxidation-reduction process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0031090~organelle membrane,	GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0008395~steroid hydroxylase activity,GO:0008401~retinoic acid 4-hydroxylase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0020037~heme binding,GO:0070330~aromatase activity,	IPR001128:Cytochrome P450,IPR002401:Cytochrome P450, E-class, group I,IPR008067:Cytochrome P450, E-class, group I, CYP2A-like,IPR017972:Cytochrome P450, conserved site,	hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa01100:Metabolic pathways,				Alternative splicing,Complete proteome,Endoplasmic reticulum,Heme,Iron,Membrane,Metal-binding,Microsome,Monooxygenase,Oxidoreductase,Polymorphism,Proteomics identification,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:Cytochrome P450 2S1,metal ion-binding site:Iron (heme axial ligand),sequence variant,splice variant,
CPEB4_HUMAN	cytoplasmic polyadenylation element binding protein 4(CPEB4)	Homo sapiens				GO:0002931~response to ischemia,GO:0006412~translation,GO:0035235~ionotropic glutamate receptor signaling pathway,GO:0036294~cellular response to decreased oxygen levels,GO:0042149~cellular response to glucose starvation,GO:0043524~negative regulation of neuron apoptotic process,GO:0071230~cellular response to amino acid stimulus,GO:2000766~negative regulation of cytoplasmic translation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0014069~postsynaptic density,GO:0030054~cell junction,GO:0030425~dendrite,GO:0043005~neuron projection,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:1990124~messenger ribonucleoprotein complex,	GO:0000166~nucleotide binding,GO:0000900~translation repressor activity, nucleic acid binding,GO:0003676~nucleic acid binding,GO:0003730~mRNA 3'-UTR binding,GO:0005515~protein binding,GO:0008135~translation factor activity, RNA binding,GO:0043022~ribosome binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,	hsa04114:Oocyte meiosis,hsa04320:Dorso-ventral axis formation,hsa04914:Progesterone-mediated oocyte maturation,			SM00360:RRM,	3D-structure,Alternative splicing,Cell junction,Cell membrane,Cell projection,Complete proteome,Membrane,Phosphoprotein,Postsynaptic cell membrane,Proteomics identification,Reference proteome,Repeat,RNA-binding,Synapse,	chain:Cytoplasmic polyadenylation element- binding protein 4,compositionally biased region:His-rich,compositionally biased region:Poly-Gly,domain:RRM 1,domain:RRM 2,modified residue,sequence conflict,splice variant,
DCP2_HUMAN	decapping mRNA 2(DCP2)	Homo sapiens				GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,GO:0000290~deadenylation-dependent decapping of nuclear-transcribed mRNA,GO:0006402~mRNA catabolic process,GO:0043488~regulation of mRNA stability,GO:0043928~exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,GO:0071044~histone mRNA catabolic process,GO:0090503~RNA phosphodiester bond hydrolysis, exonucleolytic,	GO:0000932~cytoplasmic mRNA processing body,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0016442~RISC complex,GO:0030054~cell junction,GO:0043231~intracellular membrane-bounded organelle,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0016787~hydrolase activity,GO:0016896~exoribonuclease activity, producing 5'-phosphomonoesters,GO:0030145~manganese ion binding,GO:0050072~m7G(5')pppN diphosphatase activity,	IPR000086:NUDIX hydrolase domain,IPR007722:mRNA decapping protein 2, Box A,IPR015797:NUDIX hydrolase domain-like,IPR020084:NUDIX hydrolase, conserved site,	hsa03018:RNA degradation,			SM01125:SM01125,	Alternative splicing,Complete proteome,Cytoplasm,Hydrolase,Manganese,Metal-binding,Nonsense-mediated mRNA decay,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,RNA-binding,	chain:mRNA-decapping enzyme 2,domain:Nudix hydrolase,metal ion-binding site:Manganese,modified residue,mutagenesis site,sequence conflict,sequence variant,short sequence motif:Nudix box,splice variant,
DOCK4_HUMAN	dedicator of cytokinesis 4(DOCK4)	Homo sapiens				GO:0007264~small GTPase mediated signal transduction,GO:0043547~positive regulation of GTPase activity,GO:0060326~cell chemotaxis,GO:1904694~negative regulation of vascular smooth muscle contraction,GO:1904754~positive regulation of vascular associated smooth muscle cell migration,	GO:0005622~intracellular,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0032420~stereocilium,GO:0032421~stereocilium bundle,	GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0017124~SH3 domain binding,GO:0030165~PDZ domain binding,GO:0030971~receptor tyrosine kinase binding,GO:0048365~Rac GTPase binding,	IPR001452:Src homology-3 domain,IPR010703:Dedicator of cytokinesis C-terminal,IPR011511:Variant SH3,IPR026791:Dedicator of cytokinesis,IPR027007:DHR-1 domain,IPR027357:DHR-2 domain,	hsa04015:Rap1 signaling pathway,			SM00326:SH3,	Alternative splicing,Cell membrane,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Guanine-nucleotide releasing factor,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Proto-oncogene,Reference proteome,SH3 domain,SH3-binding,	chain:Dedicator of cytokinesis protein 4,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,domain:DHR-1,domain:DHR-2,domain:SH3,modified residue,sequence conflict,sequence variant,short sequence motif:SH3-binding,splice variant,
DOCK6_HUMAN	dedicator of cytokinesis 6(DOCK6)	Homo sapiens				GO:0007264~small GTPase mediated signal transduction,GO:0007596~blood coagulation,GO:0043547~positive regulation of GTPase activity,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0048471~perinuclear region of cytoplasm,	GO:0005085~guanyl-nucleotide exchange factor activity,	IPR010703:Dedicator of cytokinesis C-terminal,IPR021816:Dedicator of cytokinesis C/D, N-terminal,IPR026791:Dedicator of cytokinesis,IPR026798:Dedicator of cytokinesis C,IPR027007:DHR-1 domain,IPR027357:DHR-2 domain,		614219~Adams-Oliver syndrome 2,			Complete proteome,Cytoplasm,Guanine-nucleotide releasing factor,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Dedicator of cytokinesis protein 6,domain:DHR-1,domain:DHR-2,modified residue,sequence variant,
DCNL5_HUMAN	defective in cullin neddylation 1 domain containing 5(DCUN1D5)	Homo sapiens				GO:0045116~protein neddylation,GO:0051443~positive regulation of ubiquitin-protein transferase activity,	GO:0000151~ubiquitin ligase complex,GO:0016021~integral component of membrane,	GO:0005515~protein binding,GO:0031624~ubiquitin conjugating enzyme binding,GO:0032182~ubiquitin-like protein binding,GO:0097602~cullin family protein binding,	IPR005176:Potentiating neddylation domain,IPR014764:Defective-in-cullin neddylation protein,					Complete proteome,Membrane,Phosphoprotein,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:DCN1-like protein 5,domain:DCUN1,modified residue,sequence conflict,
